,LIBID,1992 LOCGVT,STABR,LIBNAME,1993 LOCGVT,1994 LOCGVT,1995 LOCGVT,1996 LOCGVT,1997 LOCGVT,1998 LOCGVT,1999 LOCGVT,2000 LOCGVT,2001 LOCGVT,2002 LOCGVT,2003 LOCGVT,2004 LOCGVT,2005 LOCGVT,2006 LOCGVT,2007 LOCGVT,2008 LOCGVT,2009 LOCGVT,2010 LOCGVT,2011 LOCGVT,2012 LOCGVT,2013 LOCGVT,2014 LOCGVT,2015 LOCGVT,2016 LOCGVT
94,800140180,225370,NY,AMHERST PUBLIC LIBRARY,218883,218812,214325,220462,295143,295143,312715,342380,522011,510082,535524,585978,299146,716566,869699,1636047,2055928,2203567,1844779,1575323,1679450,1806939,1835112,1865964
95,800146980,53755,NY,WEST SENECA PUBLIC LIBRARY,51521,51090,47500,48965,67086,67086,62578,73161,98985,93362,86173,106207,33604,218754,389604,459642,428086,441211,414390,412800,432489,469337,473281,456243
96,1200040120,32000,NY,ALLEGANY PUBLIC LIBRARY,32600,35750,37100,34600,38300,38300,38000,39000,40000,41000,41000,41000,42500,44000,47000,52000,56000,60000,60000,61500,62700,62700,70700,70700
97,1200041160,6400,NY,CATTARAUGUS FREE LIBRARY,6700,7500,7800,8000,8400,8400,9000,9400,9900,10400,10900,10900,12000,13200,14200,15200,16200,20000,17200,17400,19200,20450,21000,23750
98,1200041715,11382,NY,DELEVAN-YORKSHIRE PUBLIC LIBRARY,10550,10550,10550,10550,10550,10550,36700,36900,37150,37400,37100,37850,43500,38350,38600,58870,59070,59070,69220,69400,68900,69035,69035,79050
99,1200042090,10425,NY,ELLICOTTVILLE MEMORIAL LIBRARY,12725,8350,14225,8750,19275,19275,15750,16750,18875,18750,17550,20925,22800,23875,29015,55800,55800,55800,58500,59000,60000,60416,63443,63443
100,1200043660,5500,NY,MEMORIAL LIBRARY OF LITTLE VALLEY,5500,5900,5850,6850,6950,6950,6950,9950,7500,8000,10000,10100,11100,12800,13800,16150,17900,19400,19600,20300,21550,22300,22400,22900
101,1200043800,9112,NY,KING MEMORIAL LIBRARY,9206,9666,9366,9725,10440,10440,12875,36498,38325,63405,65020,37362,42966,48729,62242,79631,45148,44300,56274,54300,54300,54300,54300,64300
102,1200044760,516500,NY,OLEAN PUBLIC LIBRARY,537160,554018,581719,610805,645294,645294,705261,738367,761621,783543,822657,857617,882388,907305,933654,961595,963487,963544,963486,963453,963455,979465,999054,999891
103,1200045340,4500,NY,PORTVILLE FREE LIBRARY,22172,24412,22458,26193,26903,26903,23998,21000,26500,23732,20992,44000,46988,43992,42996,42987,43000,43000,43000,43000,43000,40000,43000,43000
